番号,項目,語数
1,体の類,22282
1.1,抽象的関係,3869
1.10,事柄,126
1.1000,事柄,62
1.1010,こそあど・他,25
1.1030,真偽・是非,17
1.1040,本体・代理,22
1.11,類,274
1.1100,類・例,36
1.1101,等級・系列,86
1.1110,関係,17
1.1111,本末,10
1.1112,因果,64
1.1113,理由・目的・証拠,28
1.1120,相対,1
1.1130,異同・類似,28
1.1131,連絡・所属,4
1.12,存在,97
1.1200,存在,25
1.1210,出没,36
1.1211,発生・復活,8
1.1220,成立,5
1.1240,保存,0
1.1250,消滅,16
1.1251,除去,7
1.13,様相,272
1.1300,様相・情勢,32
1.1302,趣・調子,34
1.1310,風・観・姿,68
1.1320,内容・構成,5
1.1330,性質,20
1.1331,特徴,21
1.1332,良不良・適不適,21
1.1340,調和・混乱,14
1.1341,弛緩・粗密・繁簡,5
1.1342,調節,6
1.1344,支障・損じ・荒廃,7
1.1345,美醜,31
1.1346,難易・安危,8
1.14,力,26
1.1400,力,12
1.1401,弾力･動力･圧力など,0
1.1402,物力・権力・体力など,3
1.1403,勢い,11
1.15,作用,480
1.1500,作用・変化,23
1.1501,変換・交換,3
1.1502,開始,5
1.1503,終了・中止・停止,13
1.1504,連続・反復,13
1.1510,動き,6
1.1511,動揺・回転,3
1.1513,固定・傾き・転倒など,4
1.1520,進行・過程・経由,32
1.1521,移動・発着,36
1.1522,走り・飛び・流れなど,15
1.1523,巡回など,8
1.1524,通過・普及など,9
1.1525,連れ・導き・追い・逃げなど,20
1.1526,進退,11
1.1527,往復,48
1.1530,出入り,3
1.1531,出・出し,11
1.1532,入り・入れ,17
1.1533,漏れ・吸入など,1
1.1535,包み・覆いなど,5
1.1540,上がり・下がり,8
1.1541,乗り降り・浮き沈み,9
1.1550,合体・出会い・集合など,12
1.1551,統一・組み合わせ,11
1.1552,分割・分裂・分散,6
1.1553,開閉・封,5
1.1560,接近・接触・隔離,10
1.1561,当たり・打ちなど,2
1.1562,突き・押し・引き・すれなど,7
1.1563,防止・妨害・回避,20
1.1570,成形・変形,11
1.1571,切断,11
1.1572,破壊,9
1.1573,配列・排列,29
1.1580,増減・補充,7
1.1581,伸縮,2
1.1583,進歩・衰退,10
1.1584,限定・優劣,25
1.16,時間,1362
1.1600,時間,63
1.1611,時機・時刻,58
1.1612,毎日・毎度,52
1.1620,期間,8
1.1621,永久・一生,34
1.1622,年配,158
1.1623,時代,163
1.1624,季節,41
1.1630,年,141
1.1631,月,70
1.1632,週・週日,0
1.1633,日,166
1.1634,節・節日,17
1.1635,朝晩,159
1.1640,古今,2
1.1641,現在,22
1.1642,過去,49
1.1643,未来,23
1.1650,順序,26
1.1651,終始,40
1.1652,途中・盛り,24
1.1660,新旧・遅速,9
1.1670,時間的前後,28
1.1671,即時,2
1.1680,日程・日課,1
1.1690,場合,6
1.17,空間,583
1.1700,空間・場所,129
1.1710,点,23
1.1711,線,10
1.1720,範囲・席・跡,41
1.1721,境・間,26
1.1730,方向・方角,111
1.1740,左右・前後・たてよこ,33
1.1741,上下,32
1.1742,中・隅・端,47
1.1750,面・側・表裏,19
1.1770,内外,21
1.1771,奥・底・陰,29
1.1780,ふち・そば・まわり・沿い,62
1.18,形,143
1.1800,形・型・姿・構え,58
1.1810,角など,0
1.1820,玉・凹凸・うず・しわなど,2
1.1830,穴・口,34
1.1840,模様・目,35
1.1850,束・片・列・わく,14
1.19,量,506
1.1900,量,10
1.1901,値・額,7
1.1902,数,84
1.1903,整数・対数など,0
1.1910,多少,30
1.1911,長短・高低・深浅・厚薄・遠近,160
1.1912,広狭・大小,20
1.1913,速度,6
1.1914,軽重,7
1.1915,寒暖,1
1.1916,角度など,2
1.1920,程度・限度,32
1.1930,和・差・比・率など,4
1.1931,過不足,13
1.1940,一般・全体・部分,17
1.1950,単位,0
1.1951,群・組・対,26
1.1960,数記号（一二三）,68
1.1961,順位記号（甲乙丙）,19
1.1962,助数接辞,0
1.2,人間活動の主体,7900
1.20,人間,792
1.2000,人間,147
1.2010,われ・なれ・かれ,89
1.2020,自他,23
1.2030,神仏・精霊,350
1.2040,男女,68
1.2050,老少,115
1.21,家族,493
1.2100,家族,67
1.2110,夫婦,114
1.2120,親・先祖,82
1.2130,子・子孫,167
1.2140,兄弟,37
1.2150,親戚,26
1.22,仲間,97
1.2200,相手・仲間,43
1.2210,友・なじみ,31
1.2220,主客,23
1.23,人物,2790
1.2300,人種・民族,18
1.2301,国民・住民,48
1.2320,君主,101
1.2330,社会階層,66
1.2340,人物,207
1.2390,固有人名,2350
1.24,成員,1185
1.2400,成員・職,13
1.2410,専門的・技術的職業,292
1.2411,管理的・書記的職業,350
1.2412,実業・商業,6
1.2413,農林水産業,28
1.2415,運輸業,16
1.2416,職人,16
1.2417,保安サービス,40
1.2418,サービス,89
1.2419,学徒,3
1.2420,軍人,152
1.2430,長,36
1.2440,相対的地位,71
1.2450,その他の仕手,73
1.25,公私,2004
1.2500,公私,8
1.2510,家,9
1.2520,郷里,7
1.2530,国,75
1.2540,都会・田舎,65
1.2550,政治的区画,49
1.2590,固有地名,1791
1.26,社会,404
1.2600,社会・世界,87
1.2620,現場,12
1.2630,社寺・学校,268
1.2640,事務所・市場・駅など,15
1.2650,店・旅館・病院・劇場など,7
1.2660,教室・兵営など,15
1.27,機関,135
1.2700,機関,2
1.2710,政府機関,96
1.2720,公共機関,2
1.2730,議会,0
1.2740,軍,10
1.2750,国際機構,0
1.2760,同盟・団体,25
1.3,人間活動——精神および行為,4187
1.30,心,1375
1.3000,心,85
1.3001,感覚,9
1.3002,感動・興奮,17
1.3003,飢渇・酔い・疲労・睡眠など,46
1.3010,感情・気分,21
1.3011,快・喜び,21
1.3012,恐れ・怒り・悔しさ,28
1.3013,安心・焦燥・満足,42
1.3014,苦悩・悲哀,63
